id,name,sex,type,Nazi-weight
THF,Thiazi Forum rechte Internetplattform,99,4,3
ALM,Altermedia rechte Internetplattform,99,4,2
TFRB,Thiazi Forum User Fritz Brand,2,1,2
TFO,Thiazi Forum Userin Osiris,1,1,2
TFS,Thiazi Forum Userin Siglinde,1,1,2
HEG,Hermann Göring,2,1,3
MAB,Martin Bormann,2,1,3
RUH,Rudolf Heß,2,1,3
HAR,Hanna Reisch,1,1,2
NSFD,Niederschlesisches Feriendorf von VR,99,4,0
WSF,Wintersonnwendfeier der HDJ,99,4,0
SSW,Stiefschwester von Heidi Tochter von VR zweiter Freundin,1,1,1
DTS,Deutsche Stimme Zeitung der NPD,99,3,2
SLE,Sleipnir Rechtsrock Band,99,3,2
MDR,Mitteldeutscher Rundfunk Sendung Exakt,99,4,0
RHB,Reiterhof in Brandenburg,99,4,2
JGL,Jugendleite,99,4,2
EHFA,Ein Haus für alle Buch,99,3,0
VDB,Versand der Bewegung Rechter Online Shop,99,4,2
KAJ,Kosovo Albaner Junge der im Zug hilft,2,1,0
NPDP,NPD Passau,99,2,2
VNPDP,Vorsitzender NPD Passau,2,1,2
FNPDP,Junge Frau in der NPD Passau,1,1,1
EFNPDP,Ehefrau in NPD Passau,1,1,2
EMNPDP,Ehemann in NPD Passau,2,1,2
VSH,Vier Sterne Hotel in Passau,99,4,0
CVSH,Chef des Vier Sterne Hotels in Passau,2,1,0
KEFBS,Kumpel Eins von Felix Benneckenstein,2,1,99
JAMIG,Junge ausländische Männer im Gefängnis,2,1,0
KVDW,KVDW Lied von FBS,99,3,2
BAF,Bock auf Freiheit Album von FBS,99,3,2
FBSBE,Felix Benneckenstein Bruder Eins Downsyndrom,2,1,0
FBSBZ,Felix Benneckenstein Bruder Zwei,2,1,0
FBSBD,Felix Benneckenstein Bruder Drei,2,1,0
UDV,Udo Voigt,2,1,2
THW,Thomas Wulff Steiner,2,1,2
FFRB,Frau von Friedhelm Busse,1,1,99
ANTF,Antifa-Fotograf für das Aida Archiv,2,1,0
PRF,Pro Familia,99,2,0
BBS,Baby Benneckenstein Fehlgeburt,99,1,0
MIM,Michael Müller,2,1,2
PHH,Philipp Hasselbach,2,1,2
C,Cindy Ex Freundin von Phillipp Hasselbach Name geändert,1,1,1
KZFBS,Kumpel Zwei von Felix Benneckenstein,2,1,2
BIAS,Bürgerinitiative Ausländerstopp,99,2,2
KAR,Karl Richter,2,1,2
KHS,Karl Heinz Starnberger,2,1,2
NS,Nationalsozialismus,0,4,3
EXIT,Exit Aussteigerorganisation,99,2,0
ABAY,Verein zur Bewältigung neonazistischen Gedankgenguts und zur Förderung einer toleranten Gesellschaft Aussteigerhilfe Bayern eV,99,2,0
ENK,Eltern von Nina aus der Kita,1,1,0
ZEIT,Zeit Online,99,3,0
SPO,Spiegel Online,99,3,0
KNSG,Konsumgesellschaft,99,4,0
EMKF,Emanzipierte Karriere Frauen,1,1,0
BTG,Betreuungsgeld,99,4,0
NPDLT,NDP Landtagsabgeordnete ,1,1,2
PNKM,Punk Mädchen aus Erding,1,1,0
FHU,Ferienhaus Ungarn,99,4,0
LHFS,Leute aus der Hotelfachschule,99,1,0
RZ,Russischer Zöllner,2,1,0
KKM,Klassenkameradinnen,1,1,0
TLA,Typ vom Liederabend,2,1,2
VVS,Verfassungsschutz,99,2,0
VS,Vater Steffen,2,1,0
