from,to,age,location,family-relation,family-weight,relation,relation-weight
HBS,HR,1992-2007,Fürstenfeldbruck,99,99,99,99
ASR1,HR,1992-2007,Fürstenfeldbruck,99,99,99,99
ASR2,HR,1992-2007,Fürstenfeldbruck,99,99,99,99
JSR,HR,2001-2007,Fürstenfeldbruck,99,99,99,99
HR,HDJ,1992-2007,Fürstenfeldbruck,4,2,2,1
HR,BIMB,1992-2007,Fürstenfeldbruck,4,99,99,99
HR,PAZ,1992-2007,Fürstenfeldbruck,4,99,99,99
VR,HRF,1992-2007,Fürstenfeldbruck,4,1,7,3
VR,SF,1992-2007,Fürstenfeldbruck,4,1,7,3
VR,EMS,1992-2007,Fürstenfeldbruck,4,1,7,3
HBS,EMS,1992-2007,Fürstenfeldbruck,4,1,7,3
VR,SV,1992-2007,Fürstenfeldbruck,4,1,7,3
MR,NR,1992-2007,Fürstenfeldbruck,2,3,7,1
OMVS,BDM,1992-2007,99,4,2,7,3
OMVS,HBS,1992-2007,99,1,2,2,2
OMVS,ASR1,1992-2007,99,3,2,99,99
OMVS,ASR2,1992-2007,99,3,2,99,99
VR,ZOLL,1992-2007,München,3,1,7,3
VR,AMP,1992-2007,99,4,3,2,3
MR,AMP,1992-2007,99,4,3,2,3
HR,ALDI,1992-2007,99,3,2,7,2
HBS,OMMS,1992-2007,99,1,2,7,2
HBS,PK,Kindheit,99,4,2,7,2
HBS,BBK,Kindheit,99,4,2,7,2
VR,DM,1992-2007,99,4,2,7,2
VR,BM,1992-2007,99,4,2,7,2
HBS,HH,Kindheit,99,4,1,7,3
VR,HH,Kindheit,99,4,3,2,3
VR,MR,Erstes Kennenlernen,99,1,1,8,3
OPVS,OMVS,99,99,1,99,99,99
HBS,OPMS,2017,99,1,3,7,2
OPMS,VR,Kindheit,99,1,2,7,2
OMMS,VR,Kindheit,99,1,2,7,2
OPMS,VR,Jugend,99,1,3,2,3
OMMS,VR,Jugend,99,1,3,2,3
HBS,MR,Kindheit,99,1,1,7,3
HBS,VR,Kindheit,99,1,2,2,1
VR,ASR1,Kindheit,99,1,1,7,3
VR,ASR2,Kindheit,99,1,1,7,3
VR,HBS,Kindergarten,99,1,2,1,3
HBS,BIB,2017,99,4,3,7,2
ASR1,HBS,1992-2007,99,1,2,2,3
ASR2,HBS,1992-2007,99,1,2,2,3
VR,HBS,2007,99,1,5,2,3
VR,HBS,2010,99,1,5,1,3
VR,HBS,2017,99,1,5,6,3
OMVS,HBS,2017,99,1,5,4,3
OPVS,HBS,2017,99,1,5,5,3
ASR1,VR,2017,99,1,1,7,2
ASR1,HBS,2017,99,1,5,2,3
ASR2,HBS,2017,99,1,5,2,3
JSR,HBS,2017,99,1,2,7,2
MR,HBS,2017,99,1,2,7,2
HBS,L1,1998,99,2,2,2,3
HBS,SCH,1998-2007,99,3,2,1,3
HBS,VSS,1998-2007,99,4,2,7,3
HBS,KITA,2017,München,4,1,7,3
HBS,KGS,1998-2007,99,2,1,7,3
HBS,KR,1998-2007,99,99,99,3,3
VR,KR,1998-2007,99,99,99,3,3
HBS,BFC,1999,99,2,1,7,3
HBS,LI,1998-2007,99,2,1,7,2
VR,LI,1998-2007,99,2,4,2,3
ASR1,LI,1998-2007,99,2,3,2,3
ASR2,LI,1998-2007,99,2,3,2,3
HBS,TH,2000,99,3,2,4,2
HBS,L2,2000-2007,99,2,2,7,3
MR,VR,2001,99,1,3,2,3
HBS,VR,2001,99,1,1,6,3
ASR2,PFF,2001-2017?,99,1,99,99,99
HBS,FGA,2001-2007,99,3,3,2,2
VR,FGA,2001-2007,99,3,3,4,1
HBS,THIN,2002,99,3,1,7,3
HBS,KZ,2005,Dachau,4,2,4,3
VR,KZ,2005,99,4,3,2,3
HBS,KZ,2011-2017,Dachau,4,1,5,3
HBS,WTAF,2017,99,4,3,2,3
HR,FHU,1992-2007,Balatonmáriafürdö,4,1,7,3
OPVS,FHU,1992-2007,Balatonmáriafürdö,4,1,7,3
OMVS,FHU,1992-2007,Balatonmáriafürdö,4,1,7,3
HBS,UM,99,Balatonmáriafürdö,2,2,7,2
VR,RZ,1998,Nähe Kaliningrad,2,4,2,2
HR,RZ,1998,Nähe Kaliningrad,2,4,3,
HBS,VR,Sommer 1998,Kaliningrad,1,2,8,2
HBS,DK,Sommer 1998,Kaliningrad,2,2,7,2
VR,DMU,1993,Trakehnen,2,1,7,3
VR,GST,1993,Trakehnen,3,1,7,3
DMU,GST,1993,Trakehnen,3,1,7,3
DMU,HDJ,1970-1979,99,3,1,7,3
GST,AMS,1990er Jahre,Agnes Miegel Siedlung,3,99,99,99
VR,AMS,NA,Nähe Kaliningrad,3,1,7,2
DMU,AMS,NA,Nähe Kaliningrad,3,1,7,2
AMS,AM,99,Agnes Miegel Siedlung,3,99,99,99
GST,RE,1990er Jahre,Agnes Miegel Siedlung,3,1,7,3
RE,AMS,1992-2007,Nähe Kaliningrad,3,1,7,3
RE,BNP,99,99,3,1,7,3
HF,AMS,1992-2007,Nähe Kaliningrad,3,1,7,3
GST,HF,1990er Jahre,Agnes Miegel Siedlung,3,1,7,3
HF,NZ,99,99,3,1,7,3
GE,AMS,1992-2007,Nähe Kaliningrad,3,1,7,3
GST,GE,1990er Jahre,Agnes Miegel Siedlung,3,1,99,99
GE,HGWSS,99,99,3,1,8,3
HR,BRL,99,Fürstenfeldbruck,4,99,99,99
DMU,BRL,1992-2007,Fürstenfeldbruck,4,1,7,2
HBS,BHJ,1995-2007,99,3,2,99,99
HBS,HDJ,1995-2007,99,3,2,99,99
BHJ,WJ,1994,99,3,2,99,99
FR,WJ,99,99,3,1,99,99
FR,NPD,2009,99,3,1,99,99
GK,WJ,99,Donaueschingen,3,1,99,99
GK,OFA,1980,München,4,99,99,99
HDJ,WS,2009,99,3,4,2,3
HDJ,HJ,99,99,3,2,99,99
HDJ,DEJ,1990-2009,99,4,2,8,3
HDJ,HA,1990-2009,99,4,4,8,3
HBS,HDJ,2000,Polen,3,2,8,2
HDJ,KPF,2000,Polen,3,3,1,3
HBS,JZ,2004,99,2,2,9,3
JZ,HDJ,2004,99,3,2,99,99
HBS,HDJ,2004,NA,3,2,2,2
HDJ,BRDG,1990-2009,99,3,2,2,3
HBS,HDJ,1997,Görlitz,3,2,3,3
MR,HDJ,vor 1996,NA,3,3,2,3
HBS,ASR1,1997,Görlitz,1,1,9,2
HBS,ASR2,1997,Görlitz,1,1,9,2
HBS,HDJA,1997,Görlitz,4,2,99,99
HBS,VR,1998,Fürstenfeldbruck,1,1,7,3
HBS,MR,1998,Fürstenfeldbruck,1,1,7,3
HDJ,FF,99,99,4,1,99,99
FF,WES,99,99,4,2,8,2
HDJ,NPD,99,99,3,1,8,3
TIN,HDJ,99,99,3,1,8,3
TIN,NPD,99,99,3,1,8,3
DAP,HDJ,99,99,3,1,8,3
DAP,NPD,99,99,3,1,8,3
DAP,DWW,99,99,4,1,99,99
DWW,NSU,2002,NA,4,3,8,2
ALB,WJ,NA,NA,3,1,NA,NA
ALB,HDJ,99,99,3,1,8,3
JRG,HDJ,99,99,3,2,8,3
JRG,NPD,99,99,3,1,8,3
HBS,ALS,99,99,2,2,8,3
ALS,HDJ,99,99,3,1,8,3
SER,HDJ,99,Reichenwalde,3,1,8,3
SER,WJ,99,99,3,2,99,99
HBS,SER,99,99,2,2,2,3
JN,IGFL,2009,99,3,2,99,99
AFPA,DJS,99,99,3,3,2,3
IM,DJS,NA,NA,3,3,4,2
JN,AGGG,99,99,3,2,99,99
JUR,AGGG,1989-2009,99,3,1,8,3
WON,WJ,Bis 1994,99,3,1,99,99
WON,RAW,99,99,2,2,99,99
WON,RW,2006,99,2,2,99,99
WON,SYS,2015,99,2,2,99,99
WON,WGN,99,99,1,1,99,99
WGN,WJ,99,99,3,1,99,99
WON,RN,99,99,1,1,99,99
RN,WJ,99,99,3,1,99,99
UDP,NPD,2006,99,3,1,99,99
SIS,NPD,99,99,3,1,99,99
BEZ,NSU,99,99,3,1,99,99
BEZ,UWM,99,99,2,2,99,99
BEZ,UWB,99,99,2,2,99,99
UWM,NSU,99,99,3,1,99,99
UWB,NSU,99,99,3,1,99,99
HBS,JN,2006,99,3,2,8,3
HBS,NPDT,2006,Fürstenfeldbruck,3,2,7,3
HBS,UDP,2006,Fürstenfeldbruck,2,3,8,3
UDP,NPD,99,99,3,1,99,99
HBS,FBS,2006,Fürstenfeldbruck,2,3,7,3
HBS,EF,2006,Bautzen,2,1,8,3
HBS,VR,2006,Fürstenfeldbruck,1,3,7,1
HBS,EF,September 2007,Thüringen,2,1,4,3
HBS,FDV,September 2007,Thüringen,4,1,7,3
EF,FDV,September 2007,Thüringen,4,1,7,3
HBS,BHiJ,September 2007,Jena,3,1,99,99
EF,BHiJ,September 2007,Jena,3,1,99,99
RAW,BHiJ,99,Jena,3,1,99,99
RAW,NSU,99,99,3,1,99,99
HBS,TTNJ,2008,Jena,3,1,99,99
HBS,BHiJ,2008,Jena,3,1,99,99
HBS,RAW,2008,Jena,2,3,2,2
HBS,EF,2007,99,2,2,2,3
TIB,NPD,99,Thüringen,3,2,99,99
HOA,NPD,99,99,3,2,99,99
TOL,NPD,1990er Jahre,99,3,1,99,99
TOL,NPD,Heute,99,3,3,2,3
HBS,FBS,2007,Erding,2,1,7,3
HBS,KSE,2008,Erding,3,1,7,3
FBS,FBSF,2008,Erding,2,1,9,3
HBS,FBSF,2008,Erding,2,3,4,2
HBS,CHR,2008,Erding,2,2,7,2
HBS,M,2008,Erding,2,2,7,1
HBS,S,2008,Erding,2,2,6,2
S,VS,99,Erding,1,3,2,3
HBS,NOB,2008,Erding,2,3,2,3
FBS,NOB,2008,Erding,2,1,8,3
NOB,KSAS,2001,München,3,1,7,3
AN,ANA,2000-2008,99,3,3,1,3
HBS,PNKJ,2008,Erding ,2,3,1,3
FBS,PNKJ,2008,Erding ,2,3,1,3
HBS,IND,2008,Erding,2,3,7,1
HBS,ETT,2007,Erding,4,99,2,3
HBS,PNKM,2007,Erding,2,3,1,3
HBS,BEA,2007,Erding,2,3,1,2
HBS,VRZF,2007,Sachsen,1,3,4,1
HBS,FBS,2007,99,2,5,3,3
HBS,MIB,99,99,2,4,3,2
FBS,KSDO,2007,Dortmund,3,4,8,3
FRB,FBS,2007,Dortmund,2,5,1,2
HBS,FRB,2007,99,2,4,4,2
FRB,KSDO,2007,Dortmund,3,1,7,3
FBS,KSDO,2007,München,3,5,2,3
FBS,KLF,2007,Dortmund,3,2,7,3
FBS,FBSF,2007,Dortmund,2,3,9,1
HBS,RGR,1992,Rostock,99,4,2,3
HBS,RGM,1992,Mölln,99,4,2,3
HBS,RGS,1993,Solingen,99,4,2,3
HBS,AMSY,2003,München,99,3,2,3
MAW,AMSY,2003,München,99,1,99,99
KSM,MAW,Bis heute,München,3,4,8,3
HBS,MAW,Heute,München,3,3,2,2
HBS,FNM,99,München,3,4,4,1
HBS,ANA,Jugend,München,2,3,1,3
HBS,AH,Jugend,99,99,4,8,3
HBS,USA,Frühe Kindheit,99,3,4,1,3
HBS,JUD,Frühe Kindheit,99,3,4,2,2
HBS,WST,Frühe Kindheit,99,4,4,1,3
HBS,KNSG,Jugend,99,99,4,6,3
HBS,EMKF,Jugend,99,99,4,2,3
HBS,BTG,Jugend,99,4,4,7,2
HBS,NPDLT,Jugend,99,4,4,7,2
HBS,AUSL,Jugend,Erding,99,3,4,1
HBS,JKNG,Hauptschulzeit /Pubertät,Fürstenfeldbruck,2,3,2,3
HBS,ISL,Jugend,99,99,3,4,2
HBS,PAD,Jugend,99,99,4,1,3
AN,PAD,99,99,4,99,2,3
HBS,THF,99,Internet,4,3,4,1
FBS,THF,99,Internet,4,2,7,3
HBS,ALM,99,Internet,4,4,99,1
HBS,TFRB,99,Internet,2,4,4,1
HBS,TFO,99,Internet,2,4,4,1
HBS,TFS,99,Internet,2,4,4,1
VVS!,THF,2012,99,3,5,2,2
HBS,HEG,HDJ-Zeit,99,99,4,1,3
HBS,MAB,HDJ-Zeit,99,99,4,1,3
HBS,RUH,HDJ-Zeit,99,99,4,8,3
HBS,HAR,HDJ-Zeit,99,99,4,8,3
VR,NSFD,1999,Quitzdorfer See,99,1,8,3
HBS,NSFD,Schulzeit,Quitzdorfer See,99,99,1,3
HBS,WSF,1999,Quitzdorfer See,4,99,7,1
HBS,VRZF,Schulzeit,Quitzdorfer See,1,3,7,1
HBS,SSW,Schulzeit,Quitzdorfer See,1,2,7,1
NPD,NSFD,99,Quitzdorfer See,3,2,7,2
DTS,NSFD,99,Quitzdorfer See,3,2,7,2
SLE,NSFD,99,Quitzdorfer See,4,2,7,1
MDR,NSFD,2010,Quitzdorfer See,4,99,99,99
SPO,NSFD,99,Quitzdorfer See,4,99,99,99
HDJ,NSFD,2011,Quitzdorfer See,3,2,99,99
SPO,RHB,99,Brandenburg,3,99,99,99
HBS,JGL,2006,Quitzdorfer See,99,1,8,3
HDJ,JGL,2006,Quitzdorfer See,3,99,99,99
OMMS,JGL,2006,Quitzdorfer See,1,99,99,99
OPMS,JGL,2006,Quitzdorfer See,1,99,99,99
OMVS,JGL,2006,Quitzdorfer See,1,99,99,99
OPVS,JGL,2006,Quitzdorfer See,1,99,99,99
VR,JGL,2006,Quitzdorfer See,1,99,99,99
VRZF,JGL,2006,Quitzdorfer See,1,99,99,99
MR,JGL,2006,Quitzdorfer See,1,99,99,99
SSW,JGL,2006,Quitzdorfer See,1,99,99,99
HBS,SSW,2006,Quitzdorfer See,1,2,7,2
HBS,MR,12,Zuhause,1,99,99,99
HBS,VR,12,Auto,1,1,1,3
HBS,EHFA,12,Zuhause,4,99,6,3
VR,EHFA,2004,Auto,4,99,2,1
HBS,VR,2004-2005,Zuhause,1,3,2,2
HBS,VDB,99,99,99,99,99,99
HBS,TLA,99,Konzert,2,3,6,1
HBS,FBS,99,Konzert ,1,1,99,99
HBS,KAJ,16,Zug,2,3,8,3
HBS,KKM,Schulzeit,Schule,2,3,4,1
HBS,KSE,99,99,2,2,6,2
FBS,KSE,99,99,2,2,6,2
HBS,FBS,Jugend,99,1,1,9,2
FBS,HBS,Jugend,99,1,1,9,2
HBS,VRZF,12/13,Quitzdorfer See,1,3,2,3
VRZF,HBS,,Quitzdorfer See,1,3,2,3
VR,HBS,,Quitzdorfer See,1,3,4,3
HBS,MR,15,Passau,1,1,9,3
HBS,LHFS,15,Passau,2,2,7,2
HBS,NPDP,15,Passau,3,2,6,2
HBS,VNPDP,15,Stammtisch im Wirtshaus,2,3,99,99
HBS,FNPDP,15,Stammtisch im Wirtshaus,2,3,99,99
HBS,EFNPDP,15,Stammtisch im Wirtshaus,2,3,99,99
HBS,EMNPDP,15,Stammtisch im Wirtshaus,2,3,99,99
EFNPDP,EMNPDP,99,99,1,1,9,2
EMNPDP,EFNPDP,99,99,1,1,9,2
HBS,VSH,15,Vier-Sterne-Hotel,3,2,2,3
HBS,CVSH,Jugend,Vier-Sterne-Hotel,2,3,2,2
HBS,FBS,Jugend,Passau,1,1,9,2
HBS,KEFBS,Jugend,Passau,2,3,99,99
KEFBS,FBS,Jugend,99,2,2,7,2
FBS,KEFBS,Jugend,99,2,2,7,2
FBS,JAMIG,Jugend,Gefängnis,2,2,6,3
FBS,KVDW,Jugend,99,4,2,99,99
FBS,BAF,Jugend,99,4,2,99,99
FBS,FBSBE,99,99,1,1,9,3
FBS,FBSBZ,99,99,1,99,99,99
FBS,FBSBD,99,99,1,99,99,99
FBSV,FBS,Jugend,99,1,1,9,3
FBSM,FBS,Jugend,99,1,1,9,3
FBS,FBSV,Jugend,99,1,3,2,3
FBS,FBSM,Jugend,99,1,3,2,3
HBS,FBS,Jugend,Passau,1,1,9,2
HBS,KEFBS,Jugend,Passau,2,3,99,99
KEFBS,FBS,Jugend,99,2,2,7,2
FBS,KEFBS,Jugend,99,2,2,7,2
FBS,JAMIG,Jugend,Gefängnis,2,2,6,3
FBS,KVDW,Jugend,99,4,2,99,99
FBS,BAF,Jugend,99,4,2,99,99
FBS,FBSBE,99,99,1,1,9,3
FBS,FBSBZ,99,99,1,99,99,99
FBS,FBSBD,99,99,1,99,99,99
FBSV,FBS,Jugend,99,1,1,9,3
FBSM,FBS,Jugend,99,1,1,9,3
FBS,FBSV,Jugend,99,1,3,2,3
FBS,FBSM,Jugend,99,1,3,2,3
HBS,FRB,2008,Passau,2,3,2,2
HBS,UDV,2008,Passau,2,4,99,99
HBS,THW,2008,Passau,2,4,2,1
HBS,ANTF,2008,Passau,2,2,1,3
HBS,POL,2008,99,3,3,4,1
UDV,FFRB,2008,Passau,2,4,6,1
HBS,FBS,2009,München,1,1,9,3
FBS,HBS,2009,München,1,1,9,3
HBS,PRF,2009,München,3,3,7,1
HBS,BBS,2009,München,1,1,9,3
FBS,BBS,2009,München,1,1,9,3
FBS,MIM,2009,München,2,1,8,3
MIM,FBS,2009,München,2,1,8,3
HBS,UDP,2009,München,2,3,4,1
HBS,MAW,2009,München,2,3,4,1
HBS,UDV,2009,München,2,4,4,1
HBS,KSM,2009,München,2,5,4,1
FBS,KSM,2009,München,2,2,7,2
FBS,NPD,2009,99,3,2,7,2
HBS,FBS,2009,München,1,3,9,2
HBS,KSM,2009,München,2,5,1,1
HBS,PHH,May 2010,München,2,3,2,1
HBS,C,May 2010,München,2,2,7,2
C,HBS,May 2010,München,2,2,7,2
FBS,KZFBS,May 2010,München,2,1,7,3
SPO,FBS,2012,99,3,4,4,1
PHH,BIAS,2014,München,3,2,7,2
PHH,KAR,2014,München,2,1,7,3
HBS,C,2010,München,2,2,7,2
FBS,PHH,2010,München,2,2,2,1
THF,FBS,2010,99,3,5,1,1
KSM,FBS,2010,München,2,5,6,1
HBS,NSU,November 2011,Zwickau / Jena,3,4,2,3
HBS,NSU,February 2017,München,3,5,1,3
HBS,NS,November 2011,München,4,5,4,1
HBS,NS,February 2017,München,4,5,2,3
KHS,HBS,99,99,2,3,4,2
HBS,BEZ,99,99,2,2,4,2
HBS,UWM,September 2007,Jena,2,2,4,2
HBS,UWB,September 2007,Jena,2,2,4,2
HBS,EXIT,28.03.2012,99,3,1,99,99
HBS,ABAY,28.03.2012,München,3,1,99,99
FBS,EXIT,29.03.2012,99,3,1,99,99
FBS,ABAY,30.03.2012,München,3,1,99,99
ABAY,EXIT,2015,München,3,1,99,99
ZEIT,HBS,11.01.2016,99,4,2,99,99
HBS,ENK,2016,München,2,3,8,2
